x,y
342.5012210865137,462.99887846502054
343.5036231071005,462.98990631995275
344.50590467358256,462.97196274856896
345.507985493945,462.945049188315
346.50978529225443,462.9091677952158
347.5112238150904,462.8643214437024
348.5122208379733,462.81051372638206
349.5126961717923,462.74774895375003
350.5125696692283,462.67603215384463
351.5117612311753,462.5953690718442
352.5101908131561,462.5057661696069
353.50777843173546,462.40723062515326
354.5044441709273,462.2997703320908
355.5001081885962,462.18339389898205
356.4946907228543,462.0581106486546
357.4881120984501,461.9239306174544
358.4802927331522,461.78086455444196
359.4711531441236,461.6289239205307
360.4606139542895,461.4681208875696
361.4485958986962,461.2984683373673
362.4350198308606,461.11997986066075
363.419806729111,460.93266975602626
364.40287770291695,460.73655302873397
365.38415399920973,460.53164538954593
366.36355700869075,460.3179632534575
